Word,Livedead
เป็น,1
ตาย,1
เมา,1
เศียร,1
ใจ,1
กล่าว,1
แม่,1
ใคร,1
น้ำ,1
เผ่า,1
กด,0
เลิศ,0
เกิด,0
เคราะห์,0
ภาค,0
เลข,0
เกาะ,0
โกรธ,0
เมฆ,0
เลือด,0
กก,0
ก๊ก,0
กง,0
ก๊ง,0
กฎ,0
กาล,1
กู้,1
แขวง,1
ขาย,1
โข,1
โขก,0
คบ,0
คอ,1
คิด,0
คืบ,0
คาด,0
เงย,1
งวง,1
เงาะ,0
เงิน,1
จด,0
จม,1
จริง,1
จอ,1
จักร,0
ฉ้อ,1
ฉาก,0
ฉัน,1
ฉ่ำ,1
ชน,1
ชอบ,0
ชั่ว,1
ชวน,1
ชัก,0
ช่ำ,1
ซา,1
ซ้าย,1
ซัก,0
ซื่อ,1
เซ่น,1
ฌาน,1
เฌอ,1
ญวน,1
ฐาน,1
เฒ่า,1
เณร,1
ดู,1
ดอก,0
ดัก,0
ดัน,1
ดอย,1
ดาษ,0
โดย,1
โดด,0
ตาล,1
ต่ำ,1
ตึง,1
ตี,1
ตก,0
ตาก,0
โต,1
อุก,0
โอ,1
อ้อม,1
อุป,0
อก,0
อด,0
อุ่น,1
อี,1
อัง,1
เอา,0
อาบ,0
เออ,1
ออก,0
ถม,1
ถูก,0
ถูก,0
ถ้วย,1
ถอน,1
ทรง,1
ทรวด,0
ทาง,1
ทอด,0
ท้อง,1
ทุกข์,0
ทูล,1
โทร,1
ธง,1
ธม,1
ธร,1
ธรรม,1
ธาตุ,0
ธูป,0
นิ่ว,1
นิด,0
นูน,1
นาก,0
นุ่ง,1
ใบ,1
เบิก,0
แบบ,0
แบน,1
โบ,1
โบก,0
ปก,0
ปิด,0
ปน,1
ปรก,0
ประ,0
ปริก,0
ปรี่,1
ปลง,1
ปาง,1
ผง,1
ผด,0
ผอม,1
ผุ,0
ผุด,0
เผ่น,1
เผย,1
เผลอ,1
พบ,0
พก,0
พด,0
พ้น,1
พลบ,0
พรต,0
พรรณ,1
พรวน,1
พรหม,1
พราหมณ์,1
ฟัน,1
ฟัด,0
ฟ้า,1
ฟิวส์,1
ฟู,1
ภพ,0
ภาพ,0
ภัย,1
ภาย,1
ภาษ,0
ภู่,1
ภูต,0
มด,0
ม้วน,1
มวย,1
มอง,1
มอญ,1
มอด,0
มัก,0
มัด,0
มิตร,0
เมตร,0
ยก,0
ย่น,1
ยวง,1
ยอม,1
โยง,1
ยืด,0
ยุติ,0
เยิน,1
รก,0
รถ,0
ร่ม,1
รส,0
รอ,1
โรง,1
เรือ,1
เรื้อน,1
ล่วง,1
ล้อม,1
ลัก,0
ลัด,0
ลาด,0
ลำ,1
เลือด,0
เลี่ยม,1
ว่าน,1
วาร,1
วาด,0
วาฬ,1
เวทย์,0
ศิลป์,1
ส่ง,1
สด,0
สรรค์,1
หงอย,1
หงาย,1
หด,0
หาก,0
หลอก,0
หลีก,0
เห็น,1
ใหม่,1
องก์,1
อด,0
อบ,0
อม,1
อยู่,1
อวด,0
อวน,1
อ่าน,1
ฮอด,0
ฮา,1
ฮือ,1
ฮุบ,0
ฮูก,0
เฮง,1